ID,t,x,y,z,vx,vy,vz
0,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
1,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
2,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
3,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
4,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
5,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
6,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
7,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
8,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
9,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
10,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
11,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
12,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
13,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
14,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
15,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
16,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
17,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
18,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
19,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
20,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
21,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
22,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
23,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
24,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
25,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
26,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
27,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
28,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
29,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
30,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
31,71465,0.954121,-0.148565,-0.788398,0.717329,-0.287452,0.120312
32,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
33,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
34,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
35,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
36,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
37,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
38,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
39,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
40,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
41,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
42,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
43,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
44,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
45,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
46,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
47,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
48,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
49,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
50,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
51,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
52,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
53,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
54,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
55,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
56,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
57,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
58,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
59,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
60,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
61,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
62,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
63,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
64,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
65,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
66,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
67,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
68,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
69,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
70,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
71,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
72,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
73,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
74,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
75,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
76,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
77,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
78,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
79,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
80,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
81,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
82,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
83,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
84,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
85,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
86,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
87,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
88,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
89,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
90,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
91,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
92,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
93,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
94,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
95,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
96,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
97,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
98,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
99,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
100,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
101,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
102,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
103,74536,3.287371,-1.934723,-0.364024,0.716454,-0.833591,0.045104
104,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
105,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
106,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
107,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
108,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
109,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
110,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
111,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
112,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
113,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
114,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
115,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
116,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
117,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
118,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
119,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
120,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
121,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
122,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
123,77597,7.190732,-4.054872,-0.418846,1.537748,0.230484,0.197535
